"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Event #","FITC-A","PE-A","(Event #%9) - 0.5 + (Event #/(93154 + 1))","Time"
15735,65461.3,15753,6268.32,66753.4,6154,1,78871,18.75,-0.5,0.617556
16784.6,81741.7,13457,12982.3,72812.1,11685,10,124206,13.5,-0.499903,0.618728
14001.3,64605.2,14203,4173.84,64665.9,4230,19,48561.1,18.75,-0.499807,0.618728
14426.9,72706.9,13004,8444.16,71944.4,7692,37,29399.8,42.75,-0.499614,0.621072
17576.3,78450,14683,13091.8,72330.3,11862,46,74808.7,12.75,-0.499517,0.622244
14585.6,67239.9,14216,9196.56,67757.8,8895,55,49644.7,48,-0.49942,0.624587
16425,72437.8,14860,9192.24,72198.3,8344,64,-910.8,63.75,-0.499324,0.625759
18222.1,74063.6,16124,8974.8,70566.6,8335,82,169484,39,-0.49913,0.628103
10161.9,64438.5,10335,3713.04,64734.7,3759,100,40047.1,12.75,-0.498937,0.629275
20823,67042.9,20355,10255.7,65771.2,10219,127,-486,9.75,-0.498647,0.63279
14409.6,74206.2,12726,8487.36,72482.1,7674,136,321.12,15.75,-0.498551,0.63279
11344,68425.2,10865,6039.36,68346.7,5791,145,-921.6,-5.25,-0.498454,0.633962
9383.68,64679.1,9508,3554.64,63964,3642,154,42685.2,6.75,-0.498358,0.635134
15169.9,76628.3,12974,10640.9,78223.3,8915,163,77892.5,26.25,-0.498261,0.636306
14311,65997.4,14211,5571.36,67378.6,5419,172,93355.9,-6,-0.498164,0.637477
25416.3,81000,20564,17600.4,73637.6,15664,181,138736,24.75,-0.498068,0.638649
15533.4,76294.6,13343,10003,71286.9,9196,190,5079.6,13.5,-0.497971,0.639821
15948.2,75095.5,13918,9091.44,71355.3,8350,208,16776,-6.75,-0.497778,0.640993
13601.3,64822.4,13751,5362.56,65384.3,5375,217,32889.6,15.75,-0.497681,0.642165
18722.6,72970.7,16815,9529.2,71339.5,8754,226,19240.6,15.75,-0.497585,0.643337
13926.4,65047.4,14031,4330.8,64242.5,4418,235,43656.5,-3.75,-0.497488,0.644508
15309.4,73996.6,13559,11814.5,70988.7,10907,244,-1008,49.5,-0.497391,0.64568
12473.6,64382.9,12697,3787.92,64162.6,3869,253,61033,-3,-0.497295,0.646852
16894.1,66099.7,16750,7428.24,67398.2,7223,262,97770.2,1.5,-0.497198,0.648024
11932.2,63400.9,12334,3960,63655.3,4077,271,57130.6,-15.75,-0.497102,0.650367
15314.6,71967.2,13946,7925.76,70050.3,7415,280,130436,18,-0.497005,0.651539
10638.1,65536.5,10638,6505.2,67940.2,6275,289,14403.6,0,-0.496908,0.651539
22983,70020.8,21511,12962.2,70141.9,12111,298,43314.5,24,-0.496812,0.653883
14017.9,74556,12322,6742.8,72800,6070,307,131571,9,-0.496715,0.653883
23135.4,78944,19206,15539,74344.2,13698,334,59798.2,6.75,-0.496425,0.657399
17689,81811.1,14170,10852.6,78372.8,9075,343,132504,-3.75,-0.496329,0.65857
9777.92,63597.2,10076,3474,63952.8,3560,352,68939.3,-5.25,-0.496232,0.659742
23510.4,69712.1,22102,15866.6,71901.3,14462,361,46248.5,21,-0.496135,0.660914
11425.3,65343.1,11459,4190.4,64541,4255,370,88408.8,6,-0.496039,0.662086
13692.8,70848.8,12666,8333.28,70314.1,7767,379,78971.8,18,-0.495942,0.663258
8565.76,70065.6,8012,6628.32,68397.7,6351,388,57225.6,22.5,-0.495846,0.66443
19649.3,66494.6,19366,7631.28,65927.2,7586,397,7167.6,26.25,-0.495749,0.66443
15921.9,69236.2,15071,7983.36,68968.8,7586,406,21486.2,8.25,-0.495652,0.665601
16038.4,73508.1,14299,7773.12,69984.8,7279,415,3914.64,20.25,-0.495556,0.666773
