"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
8686.72,62055,9174,3244.32,66154.2,3214,88769.5,3.75,0.841031
29596.2,76152.9,25470,22193.3,76185.6,19091,78188.4,23.25,0.841031
10823.7,75857.2,9351,6789.6,74172.9,5999,154830,3,0.841031
10018.6,63956.4,10266,4522.32,66051.9,4487,45915.8,-6,0.841031
15093.1,72401,13662,8129.52,74130.6,7187,162461,-3.75,0.841031
20617.6,77699.5,17390,15395,74044.4,13626,3107.52,6.75,0.842642
13913.6,71940.2,12675,7450.56,73194.4,6671,101913,-4.5,0.842642
13224.3,64623.7,13411,5755.68,66785.5,5648,67657.7,24.75,0.844254
9905.92,63096,10289,4392,66062.5,4357,35406,7.5,0.845865
7580.8,62140.8,7995,2845.44,65963.5,2827,37559.5,6,0.845865
14063.4,63884.1,14427,4878,66517.8,4806,100249,15.75,0.845865
13827.8,64275.6,14099,4908.24,65982.9,4875,69843.6,15.75,0.845865
12524.8,63659.5,12894,4337.28,66242.8,4291,87372,20.25,0.845865
17968.6,76362.9,15421,13960.1,73799.1,12397,139122,13.5,0.845865
18971.5,65906,18865,8611.92,66642,8469,40528.1,-1.5,0.845865
18218.2,68468.3,17438,10534.3,70866.1,9742,58091.8,19.5,0.845865
13021.4,67274.2,12685,6354,70233.7,5929,111020,37.5,0.847476
17939.2,64946.6,18102,6101.28,66091.5,6050,14415.1,30,0.847476
20419.8,74478.8,17968,11031.8,73444,9844,102942,68.25,0.849087
9277.44,68177.4,8918,5883.12,70537.2,5466,111072,15,0.849087
13356.2,70835.1,12357,7201.44,71367.6,6613,121136,60,0.849087
15134.7,72135.9,13750,9934.56,71405.1,9118,83895.8,21.75,0.849087
9977.6,63007.5,10378,3211.2,65621.8,3207,97385.8,-6,0.850698
23495.7,75252.3,20462,15712.6,79143.7,13011,153104,10.5,0.850698
14257.3,73804.5,12660,9282.96,72563,8384,39621.6,39,0.850698
24636.2,71367.9,22623,13646.9,71836.3,12450,262143,15,0.850698
15579.5,71076.9,14365,7956.72,73145.1,7129,127210,20.25,0.850698
18782.7,66913.7,18396,7911.36,69167.4,7496,133184,22.5,0.852309
14071.7,70124.1,13151,6598.8,72633.4,5954,108452,31.5,0.852309
19963.5,77733.3,16831,14225,76251.6,12226,130728,41.25,0.852309
15914.2,71425.5,14602,11351.5,71573.3,10394,136553,32.25,0.852309
17950.7,73128.5,16087,9602.64,74361.2,8463,71824.3,33.75,0.852309
20249.6,77322,17163,12854.2,72428,11631,120357,17.25,0.853921
14839,75375.2,12902,8740.8,74568.8,7682,223298,27.75,0.853921
21205.1,69967.7,19862,10454.4,71294.4,9610,164771,6,0.853921
18282.9,80577.5,14870,12412.1,75528.1,10770,37677.6,15.75,0.853921
13237.1,64657.4,13417,7836.48,69382.8,7402,102518,-0.75,0.855532
25701.1,76097.8,22134,14688,75735.1,12710,84829.7,26.25,0.855532
15552,65096.5,15657,6150.24,67076.4,6009,103904,-8.25,0.855532
14462.7,63964.7,14818,5117.76,65738.4,5102,22083.1,9,0.855532
14868.5,66278.1,14702,8480.16,69382.7,8010,54982.8,-14.25,0.857143
11145,63215.9,11554,4555.44,65962.3,4526,100536,-0.75,0.857143
11359.4,66862.5,11134,5368.32,72286.5,4867,128627,-18,0.857143
19831.7,72592.1,17904,9605.52,73130.5,8608,158956,10.5,0.857143
12513.3,63502.4,12914,4410.72,65785.4,4394,40045,6.75,0.857143
15453.4,74265.4,13637,10080.7,73593.6,8977,66319.9,6,0.857143
17507.2,72278.7,15874,10623.6,73025.8,9534,40585.7,18.75,0.857143
17863.7,77541,15098,12267.4,74612.9,10775,166192,39,0.858754
11223,73794.8,9967,7300.8,73092.8,6546,163545,3.75,0.858754
10326.4,62697,10794,3502.08,65668.8,3495,3358.8,-16.5,0.858754
15354.2,73869.9,13622,8639.28,76079.5,7442,97814.2,34.5,0.858754
11948.8,64302.6,12178,5358.96,68407.6,5134,58387.7,0.75,0.860365
13079.7,67804.9,12642,7332.48,73680.1,6522,35296.6,16.5,0.860365
17849.6,77804.5,15035,11149.9,74945.8,9750,83011,6.75,0.860365
25681.3,79098.1,21278,15121.4,74945.1,13223,15173.3,42,0.860365
13954.6,72928.7,12540,6961.68,71376.8,6392,224555,14.25,0.861976
12128.6,74796.5,10627,7453.44,73932,6607,108660,30,0.861976
9370.24,62413.7,9839,2954.16,66234.6,2923,5774.4,33.75,0.863588
13102.7,64822.2,13247,5438.88,66674.6,5346,14014.8,45,0.863588
22706.6,72129.2,20631,12587.8,72702.2,11347,127854,39,0.863588
18106.9,73930.1,16051,8786.16,75338.2,7643,189379,20.25,0.865199
14483.2,64869.5,14632,5652.72,66966.1,5532,119514,17.25,0.865199
12673.9,64223.2,12933,4261.68,66609.5,4193,117289,24,0.865199
18399.4,72122.8,16719,13029.8,74028.9,11535,65803.7,62.25,0.865199
10563.8,64014,10815,5184.72,67391.1,5042,5455.44,12.75,0.86681
20928.6,76530.5,17922,12139.9,76046.8,10462,77223.6,47.25,0.86681
18761.6,67387.9,18246,9150.48,67608.3,8870,8253.36,1.5,0.868421
21092.5,77890.2,17747,17316,77605.2,14623,184308,42,0.868421
20996.5,74496.5,18471,11390.4,73134.3,10207,109770,33,0.868421
13081.6,64348.5,13323,4880.16,66993.3,4774,93814.6,3,0.870032
11174.4,62968.7,11630,4409.28,68104.3,4243,33108.5,4.5,0.870032
10608,72064.5,9647,6604.56,72115.4,6002,179450,-9,0.870032
11571.8,62966.8,12044,4029.84,65387.4,4039,80591.8,-12.75,0.870032
12039.7,70254.9,11231,8301.6,73610.3,7391,62343.4,35.25,0.871643
20922.9,74047,18518,11313.4,74665.9,9930,39963.6,9.75,0.871643
18828.2,74305.8,16606,10008.7,72832.7,9006,126997,13.5,0.871643
13354.9,64312.3,13609,5053.68,65962.6,5021,93193.9,4.5,0.871643
12743.7,72053.3,11591,8142.48,73189.6,7291,70671.6,25.5,0.873255
11393.9,63832.4,11698,5558.4,68293.1,5334,6043.68,-3,0.873255
10894.7,62862.9,11358,3834,65536,3834,28300.3,21,0.873255
14391,64373.2,14651,5310,66171.5,5259,27109.4,16.5,0.873255
9717.76,62260.5,10229,3928.32,65859.9,3909,64106.6,20.25,0.873255
19224.3,70079.3,17978,10676.9,73322.9,9543,138115,6.75,0.873255
21195.5,74353.4,18682,10920.2,74278,9635,193946,30,0.876477
8446.72,61657.9,8978,3043.44,66352.3,3006,7332.48,6.75,0.876477
13609,65334.2,13651,6842.16,69081.5,6491,102376,13.5,0.876477
15863,77075.9,13488,11561.8,73279.7,10340,14873,36,0.876477
12062.1,75530.3,10466,9258.48,72251,8398,117686,12.75,0.876477
13001.6,63854.4,13344,5019.12,66910.7,4916,47003.8,-12.75,0.878088
9135.36,62377.1,9598,4618.8,66047.9,4583,32536.1,6.75,0.878088
14218.2,64028.5,14553,5027.76,65415.8,5037,75903.1,-3,0.878088
11456.6,63499.9,11824,3683.52,65527.5,3684,40871.5,19.5,0.878088
11063,69814.9,10385,7704.72,71188,7093,99810.7,10.5,0.878088
16979.2,65664.4,16946,6363.36,66427.1,6278,116214,-1.5,0.878088
10513.9,62880.1,10958,4233.6,66328.8,4183,84509.3,32.25,0.879699
11317.1,70421.5,10532,7606.8,71318.9,6990,101503,19.5,0.881311
13001,70386.7,12105,8540.64,71165.9,7865,91285.9,47.25,0.881311
12912,63994.6,13223,4397.04,66535.3,4331,60991.2,34.5,0.881311
14726.4,69577.5,13871,9005.76,71470.3,8258,60868.8,25.5,0.881311
10694.4,70382.4,9958,4991.04,72269.7,4526,116357,9,0.882922
15994.9,72597.9,14439,8370.72,74424.6,7371,179994,23.25,0.882922
17786.2,75641.7,15410,13741.2,73857.4,12193,168800,24.75,0.882922
20245.8,77073.8,17215,12026.2,74171.5,10626,188171,9.75,0.884533
19687,78147.2,16510,14389.9,74455.9,12666,71750.2,9,0.884533
15036.8,67206.7,14663,8759.52,70636.6,8127,56980.1,13.5,0.884533
12309.1,64319.1,12542,5178.96,66200.2,5127,59004.7,14.25,0.886144
10970.2,64122.9,11212,6557.76,69061.4,6223,88508.9,3.75,0.887755
11820.8,65485,11830,5829.84,68299,5594,34588.8,14.25,0.887755
23798.4,75283.7,20717,14777.3,74742.9,12957,104103,4.5,0.887755
14709.1,73395.5,13134,10213.9,72428,9242,89874.7,6,0.887755
16105.6,65045.7,16227,4661.28,65907.6,4635,128090,0,0.887755
9399.04,74483.1,8270,6229.44,73559,5550,110724,6.75,0.887755
14624.6,64498,14860,5523.12,66245.1,5464,8151.84,-5.25,0.887755
13195.5,74103,11670,8780.4,74249.3,7750,16490.2,-18.75,0.887755
20252.8,85356.1,15550,15025.7,78639.4,12522,74882.2,14.25,0.887755
12558.1,74466.7,11052,7493.04,73118.5,6716,73382.4,1.5,0.889366
