"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
16669.4,66056.9,16538,6238.08,64943.4,6295,68326.6,-12,0.892308
19416.3,65692.7,19370,8893.44,64745.7,9002,452.16,24,0.894017
8376.32,64114.7,8562,2785.68,63083,2894,33425.3,-1.5,0.894017
8896.64,63693.5,9154,3465.36,64190.5,3538,52616.2,17.25,0.894017
17240.3,67002.4,16863,7942.32,65704.1,7922,109330,19.5,0.894017
20049.3,72871.7,18031,11981.5,71572.4,10971,11648.9,10.5,0.894017
8295.04,63322.5,8585,2800.08,63872.6,2873,62334.7,3.75,0.894017
12788.5,70105,11955,6506.64,69870.4,6103,26668.1,18,0.894017
14733.4,72105.9,13391,7328.16,70939.2,6770,117756,11.25,0.894017
24254.7,79885.3,19898,17696.2,74232.6,15623,157895,25.5,0.895727
16018.6,72056.6,14569,9287.28,70864,8589,39556.1,14.25,0.895727
12067.2,65352.9,12101,5551.2,65279.6,5573,360,19.5,0.895727
14368.6,70304.9,13394,5577.12,68216.2,5358,26539.9,18.75,0.895727
23054.7,69083,21871,11720.9,69408.1,11067,38460.2,34.5,0.895727
21342.7,80860,17298,13782.2,75711.1,11930,186509,38.25,0.895727
22835.8,81472.6,18369,16889,75187.8,14721,108140,39,0.895727
14554.2,75538.7,12627,8696.16,71381.7,7984,75584.9,3,0.895727
12546.6,65315.1,12589,4469.76,64721.7,4526,244.8,7.5,0.897436
13187.2,77992.6,11081,9171.36,72129.4,8333,45000.7,-0.75,0.897436
20058.9,66652.1,19723,13088.2,67353.4,12735,30170.2,27,0.897436
19552,67843.5,18887,10301.8,68423.7,9867,69197.8,38.25,0.897436
17056,66681.5,16763,5175.36,65351.1,5190,103211,-1.5,0.899145
9304.32,64253.7,9490,3299.04,64539.1,3350,60598.1,4.5,0.899145
25432.3,77619.9,21473,14717.5,73780.1,13073,152581,67.5,0.899145
23987.2,71055.2,22124,12572.6,68073.4,12104,46263.6,51.75,0.899145
17656.3,73472.9,15749,9925.2,72636.3,8955,21386.2,21,0.899145
20912.6,75142.9,18239,16897.7,72012.4,15378,167656,44.25,0.899145
8762.24,72432.2,7928,5816.16,72027.2,5292,45372.2,13.5,0.900855
18830.7,79169.2,15588,15463.4,72303.9,14016,764.64,18,0.900855
19682.6,67383.2,19143,9785.52,65741,9755,1082.16,13.5,0.900855
12347.5,73637.9,10989,6549.84,71769,5981,96689.5,7.5,0.900855
14329.6,66045.8,14219,5230.8,65184.6,5259,51113.5,-2.25,0.900855
11125.1,65413.2,11146,4525.2,64766,4579,59880.2,-9,0.900855
17740.2,73346.7,15851,9605.52,72009.5,8742,69896.9,10.5,0.900855
20364.8,74928.6,17812,14294.2,72782.4,12871,94891,34.5,0.902564
12567,74264.5,11090,7701.84,72086.2,7002,91193.8,33.75,0.902564
12678.4,70624,11765,7205.04,70888.7,6661,101187,3.75,0.902564
12115.2,65337.5,12152,3955.68,64423.3,4024,67419.4,27,0.902564
14232.3,78977.9,11810,10223.3,72714.7,9214,200736,54.75,0.902564
20257.9,66671.2,19913,7607.52,65661.3,7593,14996.9,27,0.902564
15846.4,78669,13201,8145.36,74482.3,7167,102552,47.25,0.902564
9626.24,64118.8,9839,3174.48,65299,3186,12974.4,3.75,0.904274
13454.7,79224.5,11130,9416.16,72006.7,8570,194180,43.5,0.904274
13991.7,65642.4,13969,4787.28,65131.7,4817,42902.6,30,0.904274
12844.8,68411,12305,5969.52,70451.7,5553,105806,46.5,0.904274
