"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
20451.8,77172.5,17368,16067.5,72741.2,14476,65353.7,33,1.02434
17431,74111.9,15414,9185.04,72681.8,8282,155776,27,1.02434
16311.7,73688.7,14507,7318.8,71312.1,6726,27928.1,30.75,1.02434
8949.76,71129.2,8246,5910.48,69243.7,5594,101602,9.75,1.02629
12419.8,66013.5,12330,4008.96,64174.7,4094,58248,-6,1.02629
9122.56,65792.5,9087,3401.28,65368.4,3410,55843.2,8.25,1.02629
20736.6,69227.1,19631,10746.7,66424.3,10603,24903.4,30.75,1.02629
18046.1,66401,17811,6886.8,64893.4,6955,50238,10.5,1.02629
14702.1,73310.2,13143,7598.16,70782.2,7035,138066,17.25,1.02629
13945,75879.9,12044,9363.6,72570.1,8456,3704.4,26.25,1.02629
13665.3,73557.9,12175,6667.92,68773.8,6354,102352,4.5,1.02629
12674.6,76443.9,10866,7956,71523.2,7290,143266,38.25,1.02824
21922.6,72477.3,19823,14081,70513.9,13087,120419,27,1.02824
17418.2,75768.1,15066,12406.3,71109,11434,74577.6,40.5,1.02824
23465,78387.2,19618,14436,72786.4,12998,168088,9.75,1.02824
23296,77146.4,19790,13001,74212.7,11481,54018,14.25,1.02824
22572.2,77832.8,19006,13879.4,73201.6,12426,185492,48.75,1.03018
19623.7,75349,17068,11116.1,72423.1,10059,73210.3,14.25,1.03018
13431,72083.9,12211,7255.44,71022,6695,17905,17.25,1.03018
9818.24,65245.2,9862,4194,63950.2,4298,55999.4,3.75,1.03213
9910.4,65281.7,9949,3145.68,65466.9,3149,84142.8,8.25,1.03213
17353.6,74458.9,15274,8017.92,73439.9,7155,132083,21.75,1.03408
10304.6,74679.3,9043,5488.56,69776.6,5155,21649.7,-8.25,1.03408
10114.6,70345.7,9423,5812.56,69184.9,5506,84371,17.25,1.03408
14290.6,69585.1,13459,6120,68926,5819,133758,0,1.03408
17089.9,78054.6,14349,7958.16,72780.6,7166,74321.3,12,1.03408
15539.2,66708.8,15266,5374.8,64631.7,5450,82663.2,-8.25,1.03603
12797.4,73286.7,11444,4973.04,69461.5,4692,76757.8,10.5,1.03603
14041,65680.8,14010,5249.52,63958.5,5379,26898.5,-5.25,1.03603
17013.8,72248.7,15433,7893.36,71877.1,7197,54413.3,-13.5,1.03603
13717.1,66398.2,13539,6375.6,65133.5,6415,27368.6,2.25,1.03603
16778.2,72502.9,15166,6205.68,71563.5,5683,113133,-4.5,1.03603
10905,70299.8,10166,6000.48,69453.8,5662,18405.4,-31.5,1.03603
13910.4,66489.1,13711,5710.32,65493.8,5714,41610.2,13.5,1.03603
