"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Event #","FITC-A","PE-A","(Event #%6) - 0.5 + (Event #/(69419 + 1))","Time"
21202.6,78424.8,17718,12502.8,73303.2,11178,1,199711,37.5,-0.5,0.619536
11530.9,69265.6,10910,5944.32,69927.7,5571,7,78077.5,10.5,-0.499914,0.620712
22473.6,77919.3,18902,12690.7,73955.1,11246,13,49018.3,47.25,-0.499827,0.621887
10323.8,65879.6,10270,3950.64,64678.8,4003,19,17197.9,10.5,-0.499741,0.623063
19089.3,73202.7,17090,9275.04,70795.4,8586,25,95951.5,16.5,-0.499654,0.624238
18078.7,77958.1,15198,13391.3,72440,12115,31,123772,2.25,-0.499568,0.624238
16180.5,72254.3,14676,7583.76,71082.6,6992,37,117426,2.25,-0.499481,0.625414
9130.24,69142.5,8654,5209.92,68301.1,4999,43,29426.4,4.5,-0.499395,0.625414
13433.6,73298.2,12011,6964.56,71250.3,6406,49,5590.08,-8.25,-0.499309,0.62659
18998.4,74076.6,16808,14827,70989.2,13688,55,90850.3,-12.75,-0.499222,0.627765
16312.3,74326.9,14383,11081.5,70358.3,10322,61,6856.56,-21,-0.499136,0.627765
17025.9,65428.1,17054,6242.4,64916.2,6302,73,56165.8,-11.25,-0.498963,0.630116
15444.5,75360.7,13431,10824.5,71060.1,9983,79,5541.84,29.25,-0.498876,0.631292
12051.8,71848.4,10993,7996.32,69493,7541,85,21563.3,-6,-0.49879,0.631292
15543,79742.3,12774,9131.04,74079.2,8078,91,1828.8,24.75,-0.498704,0.632468
15340.2,65455.6,15359,7149.6,67612.7,6930,97,43314.5,3.75,-0.498617,0.632468
17792.6,71934.5,16210,11535.1,72010.4,10498,103,53522.6,12.75,-0.498531,0.633643
14592,65437.3,14614,7408.8,66824,7266,115,43261.2,12,-0.498358,0.635994
13290.9,75043.6,11607,7120.08,70969.1,6575,127,5182.56,-6.75,-0.498185,0.63717
12081.3,70023.8,11307,6055.2,69014.5,5750,145,41927.8,-4.5,-0.497926,0.639521
19911,66090.5,19744,9262.08,64822.7,9364,151,98442.7,10.5,-0.497839,0.640697
10871.7,65061.3,10951,3813.84,65293.6,3828,157,10639.4,23.25,-0.497753,0.641872
21104,68601.4,20161,11302.6,66414.8,11153,163,38870.6,13.5,-0.497666,0.641872
17207.7,79327.7,14216,13677.1,71138.4,12600,169,37655.3,55.5,-0.49758,0.643048
12524.2,72004.9,11399,7884,70672.4,7311,175,39533,35.25,-0.497494,0.644224
21189.1,80576.2,17234,12463.9,72944.8,11198,181,6452.64,4.5,-0.497407,0.644224
13840.6,67509.7,13436,6197.04,67598.1,6008,187,137465,10.5,-0.497321,0.645399
9754.24,64040.7,9982,3176.64,63028.8,3303,193,37699.9,1.5,-0.497234,0.646575
9861.12,69237,9334,6379.2,69331.2,6030,199,2954.16,-12.75,-0.497148,0.646575
11136.6,62804.5,11621,3448.8,64119.3,3525,205,56928.2,-22.5,-0.497061,0.64775
12028.8,74243.7,10618,6099.84,70343,5683,211,165391,17.25,-0.496975,0.648926
10133.1,62708.6,10590,2993.76,62823.9,3123,217,289.44,-2.25,-0.496889,0.648926
