Params: 	4944
Performance: 	0.9862967255381434
Term	Coefficient	Standard Error	p-value	95% CI lower	95% CI upper
Intercept	8.953129194586001
1	0.04207510712243678	0.04055124173488779	0.2994760909121697	-0.13698409752161794	0.2211343117664915
2	-0.0038403922434452342	0.04064462653136303	0.9247229875203384	-0.18331194942387907	0.1756311649369886
3	0.0014648798709466782	0.04059958509351297	0.9712179333153124	-0.1778077910684644	0.18073755081035775
4	0.10815916432325112	0.040656553746888244	0.007811708058620747	-0.07136505900584283	0.2876833876523451
5	-0.4212411120816304	0.040627213024874695	3.8736487396318774e-25	-0.6006357776925717	-0.2418464464706891
6	0.1565640378844524	0.040674661015656935	0.00011880475748180858	-0.023040140410390708	0.3361682161792955
7	-0.24498276742710234	0.04071561293048191	1.8019544047066766e-09	-0.42476777414996625	-0.06519776070423844
8	0.21760054756402258	0.04058955894368302	8.348527231804272e-08	0.03837214837406694	0.39682894675397823
9	-0.00922222626009539	0.04056846288666896	0.8201728565705662	-0.18835747310678227	0.1699130205865915
10	-0.010264058884175142	0.0888744590199254	0.9080581267126184	-0.40270062221602576	0.3821725044476755
11	-0.22772558755447647	0.04072205399539644	2.2652450130264943e-08	-0.40753903562491234	-0.047912139484040606
12	-0.8491264484159413	0.040750263650593234	1.2553780496016382e-95	-1.0290644598340508	-0.6691884369978318
13	-0.21158789700689562	0.040719286934558674	2.0491174384168102e-07	-0.3913891267655951	-0.03178666724819609
14	0.3520884574863796	0.04065320065898571	4.959038988916943e-18	0.17257904014662762	0.5315978748261316
15	-0.9053904078437268	0.040953195415233005	2.729999406551332e-107	-1.0862244904749196	-0.7245563252125341
1,2	-0.01262943450300602	0.041125660586247226	0.7587745114260674	-0.1942250591987427	0.16896619019273065
1,3	-0.07121467202297804	0.04117001539621078	0.08368346545245377	-0.2530061510663112	0.11057680702035508
1,4	-0.12708350512886768	0.04116586064059782	0.002023310560475391	-0.30885663831634735	0.054689628058611994
1,5	0.03885097527915726	0.04125470365041163	0.3463375765149618	-0.14331445560365436	0.22101640616196888
1,6	-0.033533559747144004	0.041199257388590434	0.41568923473333286	-0.2154541605552788	0.1483870410609908
1,7	0.016665595034544012	0.04128246961698188	0.6864391966866717	-0.1656224400319507	0.19895363010103873
1,8	-0.05098742185135108	0.04109058789665966	0.214671139116564	-0.23242817859154316	0.130453334888841
1,9	0.045123935304363205	0.04101549259203331	0.27126932980742025	-0.13598522849456196	0.22623309910328837
1,10	0.023138889846846755	0.07031018953910458	0.742084898896852	-0.28732476252544076	0.33360254221913427
1,11	0.019822194907837043	0.041289670405997646	0.6311772284645774	-0.16249763616535956	0.20214202598103365
1,12	-0.015580051295538522	0.04134055020682014	0.706272680561979	-0.19812454864966644	0.1669644460585894
1,13	-0.04092103203990394	0.041282948400158316	0.32158113264403126	-0.22321118123487171	0.14136911715506384
1,14	-0.05068860034479172	0.041153374077304086	0.21807267168859415	-0.23240659751185724	0.1310293968222738
1,15	0.024594712202404168	0.0414754451807961	0.5531900929109514	-0.15854543119651146	0.2077348556013198
2,3	-0.08980909976721962	0.041205577816168674	0.02930092264039428	-0.27175760923330794	0.09213940969886872
2,4	0.04412117325766274	0.04124497584348931	0.28474900490544425	-0.13800130324703563	0.2262436497623611
2,5	-0.06793681515123495	0.04133603438161075	0.1002866916412207	-0.2504613723004342	0.11458774199796432
2,6	0.0010846820222480957	0.04125205344288778	0.9790230369635082	-0.18106904652960987	0.18323841057410606
2,7	-0.046660137759065634	0.04134860862093974	0.25913751713866	-0.22924021807344866	0.1359199425553174
2,8	0.00768211732950963	0.04113877315089693	0.8518685984957021	-0.17397140757585244	0.1893356422348717
2,9	-0.011050869604527613	0.04114088964489365	0.7882317133023558	-0.19271374016036727	0.17061200095131204
2,10	-0.07842168785079506	0.06685224307683905	0.2407827760350712	-0.3736163344727042	0.21677295877111408
2,11	-0.07040123206394555	0.04134500218148335	0.08862244003353031	-0.2529653876827328	0.1121629235548417
2,12	0.03250156612212529	0.041413933096121014	0.4325794159528352	-0.15036696278394873	0.21537009502819932
